col_a,col_b,pvalue
05-00_2,asrsb_score,1
05-00_5,asrsb_score,1
asrsa_score,asrsa_score,1
asrsa_score,asrsb_score,1
asrsa_score,oci_score,1
asrsa_score,srq_score,1
asrsb_score,asrsb_score,1
asrsb_score,oci_score,1
asrsb_score,srq_score,1
bai_score,asrsa_score,1
bai_score,asrsb_score,1
bai_score,bai_score,1
bai_score,oci_score,1
bai_score,srq_score,1
dbi_score,asrsa_score,1
dbi_score,asrsb_score,1
dbi_score,bai_score,1
dbi_score,dbi_score,1
dbi_score,oci_score,1
dbi_score,srq_score,1
oci_score,oci_score,1
oci_score,srq_score,1
srq_score,srq_score,1
